model,run_file,drive_link,domain,mode,gold_answer,model_answer,verdict
anthropic/claude-opus-4.8,gen/opus-4.8/default/02b2a6d831e2.txt,https://drive.google.com/file/d/1Jb8SFi1qViskf0-G39BJep68GTDFXRVk/view,economy-business,default,"advertising-supported: Broadcast commercial TV program, Ad-funded mobile game, Free social media feed, Free search engine results page | national: National public broadcaster, Nationwide logistics network, Countrywide supermarket chain, Domestic airline network | retail: Department store retailing, E-commerce storefront, Specialty apparel shop, Supermarket merchandising | state-owned: Sovereign development bank, Government-controlled utility, State-owned enterprise, Crown corporation","crown corporation, national public broadcaster, sovereign development bank, state-owned enterprise | ad-funded mobile game, broadcast commercial tv program, free search engine results page, free social media feed | department store retailing, e-commerce storefront, specialty apparel shop, supermarket merchandising | countrywide supermarket chain, domestic airline network, government-controlled utility, nationwide logistics network",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/06acb2c35d53.txt,https://drive.google.com/file/d/1dew1uD8dsH3xY5NMHNbTMD4ZA4VmvA3H/view,world-sport,default,"indoor: Gymnastics, Bowling, Indoor Track, Table Football | mostly Asia: Badminton (Asia), Cricket (Asia), Sepak Takraw (Asia), Table Tennis (Asia) | racket: Pickleball, Padel, Racquetball, Speedminton | vehicle: Formula 1, Jet Ski Racing, Snowmobile Racing, Touring Car Racing","formula 1, jet ski racing, snowmobile racing, touring car racing | padel, pickleball, racquetball, speedminton | badminton (asia), cricket (asia), sepak takraw (asia), table tennis (asia) | bowling, gymnastics, indoor track, table football",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/07abeb20286c.txt,https://drive.google.com/file/d/11HbuxtoVK8zez_VpYhzvm68rROgvEfTq/view,world-sport,default,"indoor: Gymnastics, Table Football, Indoor Track, Bowling | outdoor: Disc Golf, Orienteering, Rock Climbing, Surfing | team (small): Ping Pong Doubles, Kabbadi, Sepak Takraw, Curling | vehicle: Formula 1, Touring Car Racing, Snowmobile Racing, Jet Ski Racing","formula 1, jet ski racing, snowmobile racing, touring car racing | bowling, curling, indoor track, orienteering | kabbadi, ping pong doubles, sepak takraw, table football | disc golf, gymnastics, rock climbing, surfing",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/0b148e91bd33.txt,https://drive.google.com/file/d/18tTWC8AU2LCjMvefG_yX_F1pKzYLp0Au/view,world-sport,default,"indoor: Table Football, Bowling, Gymnastics, Indoor Track | mostly Americas: Basketball (Americas), Baseball (Americas), American Football (Americas), Softball (Americas) | mostly Asia: Sepak Takraw (Asia), Badminton (Asia), Cricket (Asia), Table Tennis (Asia) | vehicle: Jet Ski Racing, Formula 1, Touring Car Racing, Snowmobile Racing","badminton (asia), cricket (asia), sepak takraw (asia), table tennis (asia) | american football (americas), baseball (americas), basketball (americas), softball (americas) | formula 1, jet ski racing, snowmobile racing, touring car racing | bowling, gymnastics, indoor track, table football",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/0b8daea1a680.txt,https://drive.google.com/file/d/1kGb5oBnq0moniB1jlN0Lnxn58kS2lnkN/view,technology-computing,default,"Linux: Linux Thin Client, Linux Laptop Only, Linux Server, Linux OS | Windows: Windows OS, Windows Desktop Pro, Windows IoT Device, Windows Workstation | hybrid: Hybrid Laptop, Hybrid Smart Speaker, Hybrid Tablet, Convertible Device | laptop: Mac Gamer’s Laptop, MacBook Gamer Hybrid, Linux Video Station, Windows Travel Laptop","windows desktop pro, windows iot device, windows travel laptop, windows workstation | linux laptop only, linux server, linux thin client, linux video station | hybrid laptop, hybrid smart speaker, hybrid tablet, macbook gamer hybrid | convertible device, linux os, mac gamer’s laptop, windows os",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/0d59b9072814.txt,https://drive.google.com/file/d/1FYug6BTFCrlq8N3znx2sfQfs9U9ZcuNY/view,world-food-cuisine,default,"East Asian: Bibimbap, Mapo Tofu, Sushi, Tempura | raw: Stuffed Grape Leaves, Caprese Salad, Salmon Sashimi, Spicy Edamame | steamed: Steamed Dumplings, Steamed Baozi, Grilled Tofu Skewers, Steamed Fish with Ginger | sweet: Chocolate Mousse, Baklava Ice Cream, Fruit Tart, Sweet Red Bean Bun","mapo tofu, steamed baozi, steamed dumplings, sweet red bean bun | salmon sashimi, steamed fish with ginger, sushi, tempura | bibimbap, grilled tofu skewers, spicy edamame, stuffed grape leaves | baklava ice cream, caprese salad, chocolate mousse, fruit tart",WRONG (0/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/0d74bc291a86.txt,https://drive.google.com/file/d/1B_oMojM5-28_DcOiV2poN-YJjuzXEB5T/view,economy-business,default,"global: International franchise system, Global shipping route network, Worldwide cloud platform, Multinational supply chain | manufacturing: Injection molding, CNC machining, Pharmaceutical tablet pressing, Contract electronics assembly | national: Domestic airline network, Nationwide logistics network, National public broadcaster, Countrywide supermarket chain | publicly traded: Exchange-listed corporation, Public shareholder company, IPO-listed company, Exchange-traded real estate trust","exchange-listed corporation, exchange-traded real estate trust, ipo-listed company, public shareholder company | cnc machining, contract electronics assembly, injection molding, pharmaceutical tablet pressing | countrywide supermarket chain, domestic airline network, national public broadcaster, nationwide logistics network | global shipping route network, international franchise system, multinational supply chain, worldwide cloud platform",SOLVED (4/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/10fceff38831.txt,https://drive.google.com/file/d/1fJJo6U_6PDuheMQBt_BeWeFNXEkjkMqv/view,natural-sciences,default,"Chemistry: Atmospheric Biosensors, Urban Air Quality Monitoring, Chemical Weathering Field Study, Drug Metabolism Analysis | Laboratory: Cellular Imaging Experiments, PCR Machine, Nanoparticle Synthesis, Spectrophotometer | Observational: Bird Migration Tracking, Wildlife Camera Trapping, Meteor Shower Counting, Exoplanet Transit Monitoring | Theoretical: Mathematical Population Genetics, String Theory, Quantum Field Theory, Genetic Population Studies","bird migration tracking, exoplanet transit monitoring, meteor shower counting, wildlife camera trapping | cellular imaging experiments, chemical weathering field study, drug metabolism analysis, nanoparticle synthesis | genetic population studies, mathematical population genetics, quantum field theory, string theory | atmospheric biosensors, pcr machine, spectrophotometer, urban air quality monitoring",WRONG (2/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/11d2f4eab7fb.txt,https://drive.google.com/file/d/1HYsy0C_bMlpmI9RsvKor5bSq0JbAUZ8R/view,world-sport,default,"global: Olympic Swimming, Table Tennis Singles, Athletics, Judo | racket: Racquetball, Speedminton, Padel, Pickleball | team (large): Rugby, Softball, Volleyball, Ultimate Frisbee | team (small): Kabbadi, Rowing, Mixed Doubles Tennis, Inline Hockey","padel, pickleball, racquetball, speedminton | badminton-like, mixed doubles tennis, table tennis singles, volleyball | inline hockey, kabbadi, rugby, ultimate frisbee | athletics, judo, olympic swimming, rowing",WRONG (1/4)
anthropic/claude-opus-4.8,gen/opus-4.8/default/149c1106f4fc.txt,https://drive.google.com/file/d/1jApYqZKK2Ktt3NQ75TE2Kz0BtFBJ7vNv/view,world-history,default,"Agricultural: Indus Valley Civilization, Mesoamerican Maize Cultures, Ancient Egypt (Agricultural), Neolithic Europe | City-state: Uruk, City of Carthage, Mbanza Kongo, Luoyang (Han) | Europe: Ancient Athens, Napoleonic France, Renaissance Florence, Holy Roman Empire | Sub-Saharan Africa: Kongo Kingdom, Kingdom of Ghana, Buganda Kingdom, Swazi Kingdom","buganda kingdom, kongo kingdom, mbanza kongo, swazi kingdom | ancient athens, city of carthage, holy roman empire, napoleonic france | ancient egypt (agricultural), indus valley civilization, mesoamerican maize cultures, neolithic europe | kingdom of ghana, luoyang (han), renaissance florence, uruk",WRONG (1/4)
